"approval_status","product_name","category","brand","short_description","price_myr","sku","stock_status","vehicle_compatibility","image_source_url","image_permission_confirmed","image_alt_text","owner_approved","notes"
"scope-approved-2026-07-13","Universal Power Window Switch","Electrical & Lighting","BROTHER'S Auto Catalog","Replacement-style power window switch for compatible vehicle applications.","59","BA-036","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-036.png","yes — project-generated illustration","Universal Power Window Switch clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","USB Bluetooth Audio Receiver","Electrical & Lighting","BROTHER'S Auto Catalog","Compact Bluetooth receiver for compatible USB-powered vehicle audio inputs.","49","BA-037","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-037.png","yes — project-generated illustration","USB Bluetooth Audio Receiver clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Single DIN Bluetooth Head Unit","Electrical & Lighting","BROTHER'S Auto Catalog","Single-DIN stereo receiver with Bluetooth audio for compatible dashboards.","229","BA-038","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-038.png","yes — project-generated illustration","Single DIN Bluetooth Head Unit clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","6.5 Inch Coaxial Speaker Pair","Electrical & Lighting","BROTHER'S Auto Catalog","Pair of 6.5-inch coaxial speakers for compatible doors and audio systems.","189","BA-039","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-039.png","yes — project-generated illustration","6.5 Inch Coaxial Speaker Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Universal Android Car Player 9 Inch","Electrical & Lighting","BROTHER'S Auto Catalog","Nine-inch Android multimedia display for compatible dashboard installations.","699","BA-040","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-040.png","yes — project-generated illustration","Universal Android Car Player 9 Inch clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Fully Synthetic Engine Oil 5W-30 4L","Engine & Maintenance","BROTHER'S Auto Catalog","Four-litre 5W-30 fully synthetic engine oil for compatible manufacturer specifications.","189","BA-041","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-041.png","yes — project-generated illustration","Fully Synthetic Engine Oil 5W-30 4L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Semi Synthetic Engine Oil 10W-40 4L","Engine & Maintenance","BROTHER'S Auto Catalog","Four-litre 10W-40 semi-synthetic engine oil for compatible manufacturer specifications.","129","BA-042","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-042.png","yes — project-generated illustration","Semi Synthetic Engine Oil 10W-40 4L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Long Life Engine Coolant 4L","Engine & Maintenance","BROTHER'S Auto Catalog","Long-life engine coolant for compatible cooling-system specifications.","59","BA-043","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-043.png","yes — project-generated illustration","Long Life Engine Coolant 4L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Universal Brake Fluid DOT 4 1L","Engine & Maintenance","BROTHER'S Auto Catalog","DOT 4 brake fluid for compatible braking-system specifications.","45","BA-044","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-044.png","yes — project-generated illustration","Universal Brake Fluid DOT 4 1L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Standard Engine Air Filter","Engine & Maintenance","BROTHER'S Auto Catalog","Replacement-style engine air filter for compatible air boxes and vehicle models.","39","BA-045","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-045.png","yes — project-generated illustration","Standard Engine Air Filter clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Carbon Cabin Air Filter","Engine & Maintenance","BROTHER'S Auto Catalog","Activated-carbon cabin filter for compatible HVAC filter housings.","49","BA-046","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-046.png","yes — project-generated illustration","Carbon Cabin Air Filter clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Spin-On Oil Filter","Engine & Maintenance","BROTHER'S Auto Catalog","Spin-on engine oil filter for compatible thread and filtration specifications.","29","BA-047","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-047.png","yes — project-generated illustration","Spin-On Oil Filter clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Iridium Spark Plug Set of 4","Engine & Maintenance","BROTHER'S Auto Catalog","Set of four iridium spark plugs for compatible engine specifications.","129","BA-048","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-048.png","yes — project-generated illustration","Iridium Spark Plug Set of 4 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Standard Spark Plug Set of 4","Engine & Maintenance","BROTHER'S Auto Catalog","Set of four standard spark plugs for compatible engine specifications.","69","BA-049","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-049.png","yes — project-generated illustration","Standard Spark Plug Set of 4 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Fuel Injector Cleaner 300ml","Engine & Maintenance","BROTHER'S Auto Catalog","Fuel-system cleaning additive for compatible petrol engine applications.","35","BA-050","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-050.png","yes — project-generated illustration","Fuel Injector Cleaner 300ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Automotive Battery 55D23L","Engine & Maintenance","BROTHER'S Auto Catalog","55D23L-format 12V automotive battery for compatible vehicles and terminal layouts.","389","BA-051","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-051.png","yes — project-generated illustration","Automotive Battery 55D23L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Serpentine Drive Belt","Engine & Maintenance","BROTHER'S Auto Catalog","Replacement multi-rib drive belt for compatible engine accessory systems.","119","BA-052","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-052.png","yes — project-generated illustration","Serpentine Drive Belt clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Ceramic Front Brake Pad Set","Brakes & Suspension","BROTHER'S Auto Catalog","Ceramic-compound front brake pad set for compatible calipers and vehicle models.","229","BA-053","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-053.png","yes — project-generated illustration","Ceramic Front Brake Pad Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Semi Metallic Front Brake Pad Set","Brakes & Suspension","BROTHER'S Auto Catalog","Semi-metallic front brake pad set for compatible calipers and vehicle models.","179","BA-054","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-054.png","yes — project-generated illustration","Semi Metallic Front Brake Pad Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Front Brake Disc Rotor Pair","Brakes & Suspension","BROTHER'S Auto Catalog","Pair of front brake rotors for compatible hub, diameter and thickness specifications.","399","BA-055","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-055.png","yes — project-generated illustration","Front Brake Disc Rotor Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Rear Brake Shoe Set","Brakes & Suspension","BROTHER'S Auto Catalog","Rear drum-brake shoe set for compatible braking assemblies.","159","BA-056","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-056.png","yes — project-generated illustration","Rear Brake Shoe Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Gas Shock Absorber Front Pair","Brakes & Suspension","BROTHER'S Auto Catalog","Pair of gas-charged front shock absorbers for compatible suspension mounting points.","449","BA-057","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-057.png","yes — project-generated illustration","Gas Shock Absorber Front Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Gas Shock Absorber Rear Pair","Brakes & Suspension","BROTHER'S Auto Catalog","Pair of gas-charged rear shock absorbers for compatible suspension mounting points.","399","BA-058","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-058.png","yes — project-generated illustration","Gas Shock Absorber Rear Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Lower Control Arm Pair","Brakes & Suspension","BROTHER'S Auto Catalog","Pair of replacement lower control arms for compatible suspension geometry.","329","BA-059","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-059.png","yes — project-generated illustration","Lower Control Arm Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Stabilizer Link Pair","Brakes & Suspension","BROTHER'S Auto Catalog","Pair of stabilizer links for compatible anti-roll bar and suspension mounts.","129","BA-060","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-060.png","yes — project-generated illustration","Stabilizer Link Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","All Season Tyre 195/55 R15","Tyres & Wheels","BROTHER'S Auto Catalog","195/55 R15 all-season tyre for compatible wheel and vehicle load specifications.","299","BA-061","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-061.png","yes — project-generated illustration","All Season Tyre 195/55 R15 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Performance Tyre 205/45 R17","Tyres & Wheels","BROTHER'S Auto Catalog","205/45 R17 performance-oriented tyre for compatible wheel and load specifications.","399","BA-062","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-062.png","yes — project-generated illustration","Performance Tyre 205/45 R17 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","SUV Tyre 225/65 R17","Tyres & Wheels","BROTHER'S Auto Catalog","225/65 R17 SUV tyre for compatible wheel, load and speed specifications.","429","BA-063","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-063.png","yes — project-generated illustration","SUV Tyre 225/65 R17 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","15 Inch Alloy Wheel","Tyres & Wheels","BROTHER'S Auto Catalog","Fifteen-inch alloy wheel for compatible PCD, offset, centre bore and load rating.","399","BA-064","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-064.png","yes — project-generated illustration","15 Inch Alloy Wheel clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","17 Inch Alloy Wheel","Tyres & Wheels","BROTHER'S Auto Catalog","Seventeen-inch alloy wheel for compatible PCD, offset, centre bore and load rating.","599","BA-065","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-065.png","yes — project-generated illustration","17 Inch Alloy Wheel clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Digital Tyre Pressure Gauge","Tyres & Wheels","BROTHER'S Auto Catalog","Pocket digital gauge for routine tyre-pressure checks.","49","BA-066","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-066.png","yes — project-generated illustration","Digital Tyre Pressure Gauge clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
